|cible|prediction|Signal achat
2024-03-08|5175.27|5119.957079999985|True
2024-03-11|5165.31|5123.164000000001|False
2024-03-12|5150.48|5128.80856|False
2024-03-13|5117.09|5138.170399999998|False
2024-03-14|5149.42|5133.967519999991|True
2024-03-15|5178.51|5142.315720000009|False
2024-03-18|5224.62|5146.972400000002|False
2024-03-19|5241.53|5166.234320000002|False
2024-03-20|5234.18|5182.194720000005|False
2024-03-21|5218.19|5208.990280000009|False
2024-03-22|5203.58|5209.1300399999955|False
2024-03-25|5248.49|5207.876120000003|True
2024-03-26|5254.35|5226.55952|False
2024-03-27|5243.77|5230.813959999996|False
2024-03-28|5205.81|5230.392800000002|False
2024-04-01|5211.49|5225.054760000005|True
2024-04-02|5147.21|5227.964120000007|True
2024-04-03|5204.34|5203.524679999996|True
2024-04-04|5202.39|5189.130759999999|False
2024-04-05|5209.91|5204.574520000007|True
2024-04-08|5160.64|5202.510959999996|False
2024-04-09|5199.06|5193.9873999999945|True
2024-04-10|5123.41|5184.191640000001|False
2024-04-11|5061.82|5174.194760000002|True
2024-04-12|5051.41|5125.869879999998|True
2024-04-15|5022.21|5086.443400000002|True
2024-04-16|5011.12|5054.315679999993|True
2024-04-17|4967.23|5032.900440000003|True
2024-04-18|5010.6|5004.85396|True
2024-04-19|5070.55|5009.561799999998|False
2024-04-22|5071.63|5015.566880000007|False
2024-04-23|5048.42|5069.72812|False
2024-04-24|5099.96|5057.227480000003|True
2024-04-25|5116.17|5045.372560000002|False
2024-04-26|5035.69|5100.068119999995|False
2024-04-29|5018.39|5090.502959999995|True
2024-04-30|5064.2|5070.631879999999|True
2024-05-01|5127.79|5053.74288|False
2024-05-02|5180.74|5093.01708|False
2024-05-03|5187.7|5119.373919999995|False
2024-05-06|5187.67|5159.468599999996|False
2024-05-07|5214.08|5173.819120000003|False
2024-05-08|5222.68|5185.5992000000015|False
2024-05-09|5221.42|5197.952040000003|False
2024-05-10|5246.68|5204.718079999998|False
2024-05-13|5308.15|5221.113320000002|False
2024-05-14|5297.1|5252.03144|False
2024-05-15|5303.27|5264.813160000003|False
2024-05-16|5308.13|5262.299880000003|False
2024-05-17|5321.41|5268.6058799999955|False
2024-05-20|5307.01|5297.923479999994|False
2024-05-21|5267.84|5303.742920000001|False
2024-05-22|5304.72|5277.633599999997|True
2024-05-23|5306.04|5275.600559999994|False
2024-05-24|5266.95|5299.7592|False
2024-05-28|5235.48|5296.963319999993|True
2024-05-29|5277.51|5258.370839999992|True
2024-05-30|5283.4|5243.140480000001|False
2024-05-31|5291.34|5273.554239999999|False
2024-06-03|5354.03|5285.30888|False
2024-06-04|5352.96|5316.232440000012|False
2024-06-05|5346.99|5319.711639999998|False
2024-06-06|5360.79|5332.6227999999965|False
2024-06-07|5375.32|5333.1844800000035|False
2024-06-10|5421.03|5338.478359999999|False
2024-06-11|5433.74|5370.807800000009|False
2024-06-12|5431.6|5402.46092|False
2024-06-13|5473.23|5416.7730400000055|False
2024-06-14|5487.03|5425.373919999997|False
2024-06-17|5473.17|5452.525200000002|False
2024-06-18|5464.62|5461.026760000003|False
2024-06-20|5447.87|5460.5138400000105|False
2024-06-21|5469.3|5453.231360000013|True
2024-06-24|5477.9|5452.287760000014|False
2024-06-25|5482.87|5462.358160000012|False
2024-06-26|5460.48|5464.788360000011|False
2024-06-27|5475.09|5460.519600000001|True
2024-06-28|5509.01|5462.2874400000055|False
2024-07-01|5537.02|5481.275040000015|False
2024-07-02|5567.19|5495.877200000011|False
2024-07-03|5572.85|5516.990239999996|False
2024-07-05|5576.98|5536.933400000005|False
2024-07-08|5633.91|5552.205119999996|False
2024-07-09|5584.54|5596.965359999991|False
2024-07-10|5615.35|5597.475680000002|True
2024-07-11|5631.22|5585.814600000005|False
2024-07-12|5667.2|5613.397999999994|False
2024-07-15|5588.27|5639.018599999985|False
2024-07-16|5544.59|5625.929319999994|True
2024-07-17|5505.0|5594.574359999997|True
2024-07-18|5564.41|5543.723320000001|True
2024-07-19|5555.74|5552.115039999996|False
2024-07-22|5427.13|5567.865079999996|True
2024-07-23|5399.22|5484.55235999999|True
2024-07-24|5459.1|5439.902719999987|True
2024-07-25|5463.54|5454.874839999999|False
2024-07-26|5436.44|5424.903119999993|False
2024-07-29|5522.3|5414.212599999988|False
2024-07-30|5446.68|5461.376360000006|False
2024-07-31|5346.56|5454.8324799999955|True
2024-08-01|5186.33|5411.857880000004|True
2024-08-02|5240.03|5294.308160000005|True
2024-08-05|5199.5|5224.4812400000055|False
2024-08-06|5319.31|5246.378040000006|True
2024-08-07|5344.16|5267.184800000013|False
2024-08-08|5344.39|5303.45784000001|False
2024-08-09|5434.43|5317.569320000002|False
2024-08-12|5455.21|5355.938320000004|False
2024-08-13|5543.22|5376.535160000004|False
2024-08-14|5554.25|5446.620679999995|False
2024-08-15|5608.25|5472.686719999995|False
2024-08-16|5597.12|5529.78352|False
2024-08-19|5620.85|5548.215720000007|False
2024-08-20|5570.64|5561.903400000006|False
2024-08-21|5634.61|5584.091080000001|True
2024-08-22|5616.84|5554.940040000002|False
2024-08-23|5625.8|5582.525720000006|False
2024-08-26|5592.18|5599.026160000009|False
2024-08-27|5591.96|5594.435640000005|True
2024-08-28|5648.4|5537.083960000003|False
2024-08-29|5528.93|5582.434720000003|False
2024-08-30|5520.07|5572.854|True
2024-09-03|5503.41|5491.103200000002|False
2024-09-04|5408.42|5486.869159999998|False
2024-09-05|5471.05|5440.790680000003|True
2024-09-06|5495.52|5428.199800000008|False
